Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1690.234086
FDW14,OUT017,1481.850614
NCN55,OUT010,584.7577648
FDQ58,OUT017,2649.110232
FDY38,OUT027,6280.89088
FDH56,OUT046,1922.149382
FDL48,OUT018,713.8586545
FDC48,OUT027,2517.882088
FDN33,OUT045,1559.342975
FDA36,OUT017,2752.970935
FDT44,OUT017,1922.149382
FDQ56,OUT045,1481.850614
NCC54,OUT019,584.7577648
FDU11,OUT049,2142.743571
DRL59,OUT013,713.8586545
FDM24,OUT049,2286.413267
FDI57,OUT045,3130.004905
DRC12,OUT018,2893.839826
NCM42,OUT027,3242.062072
FDA46,OUT010,482.6995426
FDA31,OUT013,2851.631696
NCJ31,OUT035,3737.295775
FDG52,OUT046,798.2176035
NCL19,OUT019,281.4820818
FDS10,OUT035,3384.108064
FDX22,OUT010,584.7577648
NCF19,OUT035,798.2176035
NCE06,OUT046,2503.501336
DRC27,OUT046,4109.900606
FDE21,OUT035,1922.149382
NCR42,OUT019,92.67548155
FDX51,OUT018,2893.839826
NCR06,OUT018,507.0464037
FDU31,OUT027,5329.314724
FDU59,OUT017,2503.501336
FDR03,OUT027,5329.314724
FDS49,OUT027,2517.882088
FDD48,OUT010,281.4820818
NCF18,OUT017,2939.348476
NCD43,OUT027,2517.882088
NCD54,OUT018,1752.25244
FDY19,OUT010,281.4820818
NCY54,OUT017,2851.631696
NCL19,OUT018,2232.847022
FDP23,OUT010,584.7577648
FDC26,OUT013,1511.874772
FDR14,OUT010,165.9185817
NCS41,OUT035,3384.108064
FDF41,OUT035,3737.295775
FDU34,OUT046,1987.251049
DRH11,OUT046,935.0323883
FDM03,OUT013,1511.874772
FDS31,OUT017,3384.108064
FDJ20,OUT017,2142.743571
FDV44,OUT027,5329.314724
FDG02,OUT049,2752.970935
FDA09,OUT013,2851.631696
FDT04,OUT013,507.0464037
FDL58,OUT019,584.7577648
FDE52,OUT045,1424.59469
FDW12,OUT035,2286.413267
FDL51,OUT017,3753.000099
NCY42,OUT027,3242.062072
FDR07,OUT017,1559.342975
FDN40,OUT045,2286.413267
FDB35,OUT027,2517.882088
FDA22,OUT017,2286.413267
NCL06,OUT046,4034.300307
FDI35,OUT013,3384.108064
NCW42,OUT045,3753.000099
NCX06,OUT049,2568.332834
FDC37,OUT027,2517.882088
FDZ14,OUT018,1752.25244
DRG49,OUT049,3454.062559
NCG06,OUT045,4034.300307
DRC36,OUT045,2851.631696
FDV21,OUT019,281.4820818
FDB53,OUT046,2660.950403
DRP47,OUT019,584.7577648
FDA14,OUT013,2660.950403
DRC24,OUT035,2660.950403
FDW21,OUT018,1372.688491
NCH29,OUT046,1559.342975
FDU58,OUT013,2893.839826
FDY27,OUT017,2851.631696
FDV56,OUT035,1784.428738
FDT59,OUT046,4109.900606
FDB23,OUT046,3753.000099
FDR49,OUT045,798.2176035
FDB03,OUT010,584.7577648
FDN39,OUT045,2453.747701
FDX02,OUT027,5329.314724
FDQ16,OUT027,2517.882088
FDU35,OUT018,1372.688491
NCT29,OUT013,1987.251049
FDZ27,OUT046,798.2176035
FDN57,OUT017,2309.200798
FDA03,OUT018,2232.847022
FDZ36,OUT045,3384.108064
NCU05,OUT013,1243.06893
FDT39,OUT018,2232.847022
FDK60,OUT017,1559.342975
FDZ25,OUT017,2894.220711
FDG12,OUT046,2243.669597
DRB01,OUT019,482.6995426
NCC43,OUT027,6280.89088
FDX13,OUT019,584.7577648
FDM22,OUT049,796.6402683
FDJ03,OUT027,1378.263185
FDU14,OUT018,3327.952583
FDB33,OUT010,346.8972837
FDP27,OUT046,3391.591253
FDO38,OUT010,165.9185817
FDE28,OUT027,6280.89088
FDO27,OUT035,1559.342975
DRL23,OUT027,2517.882088
FDS28,OUT046,935.0323883
FDX24,OUT013,1481.850614
FDZ02,OUT035,1559.342975
FDL46,OUT045,1827.832845
FDS60,OUT027,5329.314724
NCO06,OUT017,583.8145789
FDO16,OUT035,1481.850614
FDC60,OUT049,1259.549051
FDA48,OUT018,3327.952583
FDZ36,OUT027,5329.314724
FDK27,OUT045,1827.832845
FDW23,OUT018,507.0464037
FDM14,OUT018,1372.688491
FDM14,OUT013,1690.234086
FDW60,OUT018,2851.631696
FDE21,OUT013,1922.149382
NCM42,OUT035,1879.05405
FDY59,OUT010,219.2185209
DRI49,OUT049,1259.549051
FDT28,OUT019,346.8972837
FDQ22,OUT018,507.0464037
FDR60,OUT049,1259.549051
FDC50,OUT019,219.2185209
FDV24,OUT013,2503.501336
DRF48,OUT010,482.6995426
FDQ47,OUT046,583.8145789
DRN36,OUT049,1559.342975
NCY06,OUT035,1987.251049
FDE52,OUT035,1424.59469
NCB54,OUT045,1827.832845
NCF31,OUT035,2286.413267
FDJ08,OUT027,5329.314724
NCC07,OUT017,1690.234086
NCD19,OUT027,1378.263185
FDL46,OUT049,1987.251049
FDM20,OUT045,4109.900606
NCI06,OUT010,425.9355915
DRM11,OUT035,4433.304033
NCH07,OUT018,2232.847022
FDS23,OUT013,2142.743571
FDO49,OUT018,713.8586545
FDS35,OUT049,1103.186213
DRK39,OUT045,1481.850614
DRI39,OUT049,796.6402683
FDV04,OUT017,2503.501336
NCN14,OUT035,3384.108064
FDH08,OUT013,4109.900606
FDS20,OUT046,3384.108064
FDV40,OUT049,1103.186213
FDZ48,OUT010,281.4820818
FDS24,OUT027,2517.882088
FDK44,OUT049,2568.332834
FDS48,OUT045,2660.950403
FDK26,OUT010,482.6995426
FDD23,OUT045,3391.591253
NCH54,OUT017,2894.220711
NCP14,OUT010,219.2185209
FDM60,OUT010,92.67548155
FDV24,OUT017,2503.501336
FDH08,OUT018,3327.952583
FDS12,OUT027,3242.062072
FDR39,OUT027,5329.314724
FDP12,OUT027,1378.263185
DRF60,OUT027,6280.89088
FDC09,OUT035,1784.428738
