Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1586.0166436993902,OUT049
FDW14,1461.85690996834,OUT017
NCN55,574.34191228777,OUT010
FDQ58,2502.4754544594866,OUT017
FDY38,5847.53147313595,OUT027
FDH56,1935.2920198044862,OUT046
FDL48,741.624869222584,OUT018
FDC48,2101.0874573255082,OUT027
FDN33,1536.895590667635,OUT045
FDA36,3044.717600001301,OUT017
FDT44,1948.0994354096817,OUT017
FDQ56,1446.77922077661,OUT045
NCC54,574.0343117824058,OUT019
FDU11,2006.8061247140026,OUT049
DRL59,831.1424052654434,OUT013
FDM24,2493.202803037172,OUT049
FDI57,3085.776838562692,OUT045
DRC12,3045.3510754572794,OUT018
NCM42,2887.4511995301555,OUT027
FDA46,509.19191201214403,OUT010
FDA31,2869.8237920967217,OUT013
NCJ31,3877.263078541266,OUT035
FDG52,740.3417744751652,OUT046
NCL19,285.99447691308944,OUT019
FDS10,3003.8909500760756,OUT035
FDX22,566.1110619457799,OUT010
NCF19,738.7270633810414,OUT035
NCE06,2548.676321753076,OUT046
DRC27,3891.556016856052,OUT046
FDE21,1932.6000154110516,OUT035
NCR42,132.73596030318836,OUT019
FDX51,3045.3510754572794,OUT018
NCR06,664.6532515550523,OUT018
FDU31,5850.470456944306,OUT027
FDU59,2555.8780703453754,OUT017
FDR03,5848.352185395134,OUT027
FDS49,1951.6809760044905,OUT027
FDD48,266.93578850216875,OUT010
NCF18,3047.3259702152636,OUT017
NCD43,2849.1310155453816,OUT027
NCD54,2147.080497311298,OUT018
FDY19,268.13114591950034,OUT010
NCY54,2869.8237920967217,OUT017
NCL19,2475.3494451861948,OUT018
FDP23,570.6164969942159,OUT010
FDC26,1695.2924630654911,OUT013
FDR14,132.73596030318836,OUT010
NCS41,3046.930779715201,OUT035
FDF41,3900.710592234118,OUT035
FDU34,2009.2003062270078,OUT046
DRH11,945.9770336885526,OUT046
FDM03,1586.0166436993902,OUT013
FDS31,3004.9551673107962,OUT017
FDJ20,2006.8061247140026,OUT017
FDV44,5130.727443274313,OUT027
